# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
1/24/2024	14:22:16	-0.7	G	66.5	G
1/24/2024	14:22:21	-0.7	G	66.5	G
1/24/2024	14:22:26	-0.7	G	66.5	G
1/24/2024	14:22:31	-0.7	G	66.5	G
1/24/2024	14:22:36	-0.7	G	66.5	G
1/24/2024	14:22:41	-0.8	G	66.5	G
1/24/2024	14:22:46	-0.9	G	66.5	G
1/24/2024	14:22:51	-0.9	G	66.5	G
1/24/2024	14:22:56	-0.9	G	66.5	G
1/24/2024	14:23:01	-1.0	G	66.5	G
1/24/2024	14:23:06	-1.1	G	66.5	G
1/24/2024	14:23:11	-1.2	G	66.5	G
1/24/2024	14:23:16	-1.2	G	66.5	G
1/24/2024	14:23:21	-1.3	G	66.5	G
1/24/2024	14:23:26	-1.3	G	66.5	G
1/24/2024	14:23:31	-1.4	G	66.5	G
1/24/2024	14:23:36	-1.5	G	66.5	G
1/24/2024	14:23:41	-1.5	G	66.5	G
1/24/2024	14:23:46	-1.6	G	66.5	G
1/24/2024	14:23:51	-1.5	G	66.5	G
1/24/2024	14:23:56	-1.6	G	66.5	G
1/24/2024	14:24:01	-1.7	G	66.5	G
1/24/2024	14:24:06	-1.8	G	66.5	G
1/24/2024	14:24:11	-1.9	G	66.5	G
1/24/2024	14:24:16	-1.9	G	66.5	G
1/24/2024	14:24:21	-1.9	G	66.5	G
1/24/2024	14:24:26	-1.8	G	66.5	G
1/24/2024	14:24:31	-1.8	G	66.5	G
1/24/2024	14:24:36	-1.8	G	66.5	G
1/24/2024	14:24:41	-1.8	G	66.5	G
1/24/2024	14:24:46	-1.8	G	66.5	G
1/24/2024	14:24:51	-1.8	G	66.5	G
1/24/2024	14:24:56	-1.9	G	66.5	G
1/24/2024	14:25:01	-1.9	G	66.5	G
